0.000	start	-	20,52,0	centre=0,0 rmax=20 _=0 relief_sd=2.3	0.00,0.00,0.00,0.0000
1.013	sync	flash	0,0,0	-	21.02,55.17,5.12,6.8692
2.009	sync	flash	0,0,0	-	16.09,52.42,8.39,7.3799
2.650	place	mcl_core:birchwood	-7,39,20	-	12.68,51.73,10.15,7.3770
3.967	place	mcl_core:birchwood	-15,39,24	-	5.66,51.37,13.79,7.3831
4.017	sync	flash	0,0,0	-	5.39,51.35,13.93,7.3854
5.277	place	mcl_core:brick_block	-22,38,27	-	-1.41,51.29,17.22,7.4078
6.594	place	mcl_core:brick_block	-31,36,8	-	-8.73,50.49,19.03,8.3269
7.897	place	mcl_core:brick_block	-23,37,-8	-	-12.93,50.51,12.56,8.9504
9.238	place	mcl_core:birchwood	-26,37,-16	-	-16.41,50.41,5.31,9.0073
10.554	place	mcl_core:mossycobble	-27,37,-22	-	-19.45,49.71,-1.97,9.0482
11.872	place	mcl_core:birchwood	-4,39,-21	-	-17.14,49.49,-8.74,10.2359
13.214	place	mcl_core:brick_block	6,38,-30	-	-11.29,51.09,-14.26,10.2407
14.541	place	mcl_books:bookshelf	14,39,-30	-	-5.42,50.67,-19.62,10.4989
15.867	place	mcl_core:gravel	20,40,-14	-	2.29,50.16,-18.57,11.2706
17.195	place	mcl_core:birchwood	22,45,-12	-	9.92,51.07,-16.28,11.2936
18.511	place	mcl_core:mossycobble	21,45,1	-	15.74,51.01,-11.68,12.1320
19.824	place	mcl_books:bookshelf	27,40,14	-	19.02,51.05,-4.52,12.1364
22.452	place	mcl_core:brick_block	10,38,33	-	16.81,51.89,10.53,12.8619
23.765	place	mcl_core:birchwood	-5,40,27	-	11.24,51.17,15.82,13.5197
25.081	place	mcl_core:birchwood	-15,40,20	-	4.40,50.38,19.41,14.1213
26.396	place	mcl_core:gravel	-25,38,20	-	-3.49,50.27,19.59,14.1112
29.026	place	mcl_core:gravel	-30,36,-8	-	-16.25,50.03,11.23,15.0764
30.339	place	mcl_colorblocks:hardened_clay_orange	-25,37,-17	-	-19.39,49.56,4.13,15.4491
31.655	place	mcl_core:birchwood	-18,44,-18	-	-19.45,49.11,-3.66,15.8329
32.973	place	mcl_colorblocks:hardened_clay_orange	-7,38,-29	-	-16.59,49.61,-10.92,16.2091
34.288	place	mcl_core:birchwood	4,38,-27	-	-11.13,50.10,-16.49,16.5826
35.603	place	mcl_books:bookshelf	15,39,-23	-	-3.95,50.05,-19.54,17.1100
36.917	place	mcl_core:brick_block	21,41,-15	-	3.87,50.19,-19.60,17.5492
38.232	place	mcl_core:birchwood	21,45,-10	-	11.01,50.72,-16.44,17.8525
39.551	place	mcl_books:bookshelf	28,39,6	-	16.44,50.94,-10.86,18.2590
40.867	place	mcl_core:birchwood	22,41,15	-	19.34,51.19,-3.69,18.7088
43.494	place	mcl_core:mossycobble	2,38,29	-	16.42,51.77,11.28,19.5414
44.815	place	mcl_core:birchwood	-5,41,26	-	10.69,51.15,16.61,19.8888
46.130	place	mcl_core:birchwood	-16,39,23	-	3.48,50.30,19.52,20.2618
47.446	place	mcl_books:bookshelf	-26,42,15	-	-4.31,50.15,19.30,20.6054
50.078	place	mcl_core:birchwood	-27,37,-11	-	-16.87,50.02,10.61,21.5346
51.396	place	mcl_colorblocks:hardened_clay_orange	-23,38,-17	-	-19.62,49.51,3.27,21.8347
52.713	place	mcl_core:birchwood	-18,41,-16	-	-19.42,49.10,-4.56,22.1097
54.031	place	mcl_colorblocks:hardened_clay_orange	-10,38,-28	-	-16.24,49.73,-11.74,22.4516
55.355	place	mcl_core:gravel	5,38,-29	-	-10.29,50.13,-16.96,22.8758
56.669	place	mcl_core:birchwood	11,39,-25	-	-2.94,50.03,-19.36,23.3794
57.983	place	mcl_core:mossycobble	20,40,-13	-	4.74,50.08,-19.11,23.8834
59.298	place	mcl_books:bookshelf	26,39,-1	-	11.85,50.87,-15.97,24.3888
60.609	place	mcl_core:birchwood	31,39,6	-	17.24,51.01,-10.25,24.4394
61.926	place	mcl_core:mossycobble	25,40,16	-	19.62,51.17,-2.75,24.8567
64.554	place	mcl_books:bookshelf	10,46,22	-	15.73,51.56,11.97,25.6933
65.870	place	mcl_core:gravel	-6,43,23	-	9.87,51.11,17.06,26.1258
67.182	place	mcl_core:mossycobble	-18,38,23	-	2.58,50.24,19.58,26.5613
68.497	place	mcl_core:birchwood	-27,42,13	-	-5.13,50.12,18.99,26.9845
69.815	place	mcl_core:gravel	-29,37,1	-	-12.10,50.07,15.58,27.4205
71.116	place	mcl_colorblocks:hardened_clay_orange	-28,36,-11	-	-17.26,50.01,9.86,27.8006
72.433	place	mcl_core:mossycobble	-22,38,-17	-	-19.82,49.38,2.46,28.1396
73.753	place	mcl_core:birchwood	-14,44,-18	-	-19.23,49.07,-5.37,28.6656
75.074	place	mcl_core:birchwood	-6,43,-22	-	-15.57,49.78,-12.32,29.0447
76.388	place	mcl_books:bookshelf	9,38,-26	-	-9.64,49.98,-17.38,29.4302
77.701	place	mcl_books:bookshelf	17,39,-22	-	-2.21,50.05,-19.79,29.7330
79.016	place	mcl_books:bookshelf	23,40,-16	-	5.58,50.06,-19.11,30.0311
80.334	place	mcl_core:birchwood	23,40,-7	-	12.54,50.77,-15.49,30.3958
81.649	place	mcl_colorblocks:hardened_clay_orange	30,39,7	-	17.62,50.95,-9.52,30.7778
82.963	place	mcl_books:bookshelf	24,41,17	-	19.95,51.14,-2.01,31.2042
84.282	place	mcl_core:mossycobble	12,44,22	-	19.05,53.65,5.79,31.8478
85.599	place	mcl_core:gravel	-1,37,31	-	15.43,51.55,12.78,32.1756
86.915	place	mcl_core:brick_block	-5,43,24	-	9.22,51.05,17.53,32.5958
88.231	place	mcl_colorblocks:hardened_clay_orange	-13,39,22	-	1.75,50.21,19.79,32.9841
89.547	place	mcl_core:gravel	-28,42,13	-	-6.03,50.22,18.99,33.2776
90.862	place	mcl_core:mossycobble	-29,36,-1	-	-12.92,50.06,15.28,33.7207
92.176	place	mcl_core:birchwood	-30,37,-11	-	-17.80,50.03,9.13,33.9936
93.500	place	mcl_core:gravel	-25,37,-19	-	-19.89,49.34,1.52,34.4484
94.817	place	mcl_core:brick_block	-17,44,-17	-	-18.94,49.07,-6.28,34.7552
96.133	place	mcl_colorblocks:hardened_clay_orange	-7,43,-25	-	-15.07,49.84,-13.10,35.1260
97.448	place	mcl_books:bookshelf	13,39,-22	-	-8.92,50.06,-17.97,35.6926
98.763	place	mcl_books:bookshelf	17,40,-19	-	-1.32,50.09,-19.96,36.1663
100.080	place	mcl_colorblocks:hardened_clay_orange	22,45,-8	-	6.23,50.38,-17.97,36.6778
101.397	place	mcl_core:birchwood	21,47,3	-	11.62,51.01,-12.29,37.1378
